States,PUE,WUE,PUE_ALC,WUE_ALC
Alabama,1.15,1.6196,1.1089,1.4823
Arizona,1.1361,1.8218,1.0818,1.6829
Arkansas,1.1407,1.619,1.1001,1.4818
California,1.1249,1.633,1.0734,1.496
Colorado,1.1322,1.7108,1.0724,1.5734
Connecticut,1.1195,1.5187,1.0807,1.3829
Delaware,1.1283,1.5755,1.0892,1.4389
District of Columbia,1.1237,1.5124,1.0834,1.3765
Florida,1.1702,1.6781,1.1279,1.5399
Georgia,1.1466,1.6031,1.1054,1.466
Idaho,1.1295,1.6751,1.0724,1.5381
Illinois,1.1237,1.5265,1.0844,1.3904
Indiana,1.1226,1.5198,1.0833,1.3839
Iowa,1.1205,1.538,1.0802,1.4021
Kansas,1.127,1.5964,1.0857,1.4597
Kentucky,1.1277,1.5344,1.0877,1.3983
Louisiana,1.1588,1.63,1.1173,1.4924
Maine,1.1192,1.5392,1.0741,1.4035
Maryland,1.1247,1.5166,1.0851,1.3807
Massachusetts,1.1186,1.5088,1.0785,1.3731
Michigan,1.1194,1.5317,1.074,1.396
Minnesota,1.1204,1.5558,1.074,1.4199
Mississippi,1.1523,1.6078,1.1112,1.4705
Missouri,1.1286,1.5564,1.0887,1.42
Montana,1.1272,1.658,1.0724,1.5211
Nebraska,1.1255,1.599,1.0789,1.4624
Nevada,1.1325,1.774,1.0761,1.6359
New Hampshire,1.1199,1.5457,1.075,1.4098
New Jersey,1.1237,1.53,1.0848,1.394
New Mexico,1.1325,1.7517,1.0749,1.6136
New York,1.1195,1.5247,1.0764,1.3889
North Carolina,1.136,1.5848,1.0955,1.448
North Dakota,1.1222,1.5891,1.0741,1.4529
Ohio,1.1205,1.5222,1.0811,1.3863
Oklahoma,1.135,1.6082,1.0938,1.4713
Oregon,1.1255,1.617,1.0724,1.4804
Pennsylvania,1.1201,1.5241,1.0783,1.3882
South Carolina,1.1449,1.6139,1.104,1.4767
South Dakota,1.1241,1.6003,1.0757,1.4639
Tennessee,1.1317,1.5604,1.0911,1.4239
Texas,1.1411,1.6278,1.099,1.4905
Utah,1.1327,1.7631,1.0731,1.6252
Vermont,1.1199,1.5457,1.0751,1.4098
Virginia,1.1237,1.5124,1.0834,1.3765
Washington,1.1225,1.558,1.0721,1.4219
West Virginia,1.1214,1.5159,1.0809,1.38
Wisconsin,1.1198,1.5381,1.0747,1.4023
Wyoming,1.1318,1.7127,1.0724,1.5754
